frame,time,head_tx,head_ty,head_tz,head_rx,head_ry,head_rz,Brows Inner Up,Brows Inner Down,Brows Outer Up,Brows Outer Down,Lip Stretch,Lip Kiss,Lip Corners Up,Lip Corners Down,Upper Lip Up,Upper Lip Down,Jaw Open,Mouth_Upper_C_tx,Mouth_Upper_C_ty,Mouth_Upper_C_tz,Mouth_Lower_C_tx,Mouth_Lower_C_ty,Mouth_Lower_C_tz,Chin_tx,Chin_ty,Chin_tz,Brow_Outer_L_tx,Brow_Outer_L_ty,Brow_Outer_L_tz,Brow_Inner_L_tx,Brow_Inner_L_ty,Brow_Inner_L_tz,Brow_Middle_L_tx,Brow_Middle_L_ty,Brow_Middle_L_tz,Mouth_Corner_L_tx,Mouth_Corner_L_ty,Mouth_Corner_L_tz,Mouth_Inner_Lower_C_tx,Mouth_Inner_Lower_C_ty,Mouth_Inner_Lower_C_tz,Brow_Outer_R_tx,Brow_Outer_R_ty,Brow_Outer_R_tz,Brow_Inner_R_tx,Brow_Inner_R_ty,Brow_Inner_R_tz,Brow_Middle_R_tx,Brow_Middle_R_ty,Brow_Middle_R_tz,Mouth_Corner_R_tx,Mouth_Corner_R_ty,Mouth_Corner_R_tz,Mouth_Upper_L_tx,Mouth_Upper_L_ty,Mouth_Upper_L_tz,Mouth_Upper_R_tx,Mouth_Upper_R_ty,Mouth_Upper_R_tz,Mouth_Inner_Upper_L_tx,Mouth_Inner_Upper_L_ty,Mouth_Inner_Upper_L_tz,Mouth_Inner_Upper_R_tx,Mouth_Inner_Upper_R_ty,Mouth_Inner_Upper_R_tz,Mouth_Inner_Lower_L_tx,Mouth_Inner_Lower_L_ty,Mouth_Inner_Lower_L_tz,Mouth_Inner_Lower_R_tx,Mouth_Inner_Lower_R_ty,Mouth_Inner_Lower_R_tz,Mouth_Lower_L_tx,Mouth_Lower_L_ty,Mouth_Lower_L_tz,Mouth_Lower_R_tx,Mouth_Lower_R_ty,Mouth_Lower_R_tz,Mouth_Inner_Upper_C_tx,Mouth_Inner_Upper_C_ty,Mouth_Inner_Upper_C_tz,Mouth_Inner_Corner_L_tx,Mouth_Inner_Corner_L_ty,Mouth_Inner_Corner_L_tz,Mouth_Inner_Corner_R_tx,Mouth_Inner_Corner_R_ty,Mouth_Inner_Corner_R_tz,Cheek_L_tx,Cheek_L_ty,Cheek_L_tz,Cheek_R_tx,Cheek_R_ty,Cheek_R_tz
0,0.000000,0.033164,-0.020404,-0.972132,2.160298,4.563674,-0.449135,-0.000000,0.223895,-0.000000,0.237485,0.315556,0.000000,0.020159,-0.000000,0.000000,0.079076,0.121524,-0.000012,-0.017409,0.113048,-0.000049,-0.029692,0.112956,-0.000126,-0.054530,0.103431,0.049431,0.047182,0.090004,0.009792,0.049338,0.110305,0.035596,0.050507,0.103821,0.024991,-0.019751,0.097363,-0.000034,-0.024473,0.111005,-0.049087,0.047475,0.090039,-0.009421,0.049395,0.110312,-0.035223,0.050717,0.103846,-0.025040,-0.019603,0.097380,0.012497,-0.016237,0.105253,-0.012519,-0.016163,0.105261,0.010141,-0.020489,0.104011,-0.010190,-0.020428,0.104018,0.010132,-0.023398,0.103386,-0.010199,-0.023337,0.103393,0.012464,-0.027174,0.104622,-0.012552,-0.027100,0.104630,-0.000022,-0.020694,0.111631,0.020304,-0.020386,0.095373,-0.020358,-0.020266,0.095388,0.034633,-0.019970,0.094078,-0.034686,-0.019764,0.094102
1,0.033333,0.033164,-0.020404,-0.972132,2.160298,4.563674,-0.449135,-0.000000,0.223895,-0.000000,0.237485,0.315556,0.000000,0.020159,-0.000000,0.000000,0.079076,0.121524,-0.000012,-0.017409,0.113048,-0.000049,-0.029692,0.112956,-0.000126,-0.054530,0.103431,0.049431,0.047182,0.090004,0.009792,0.049338,0.110305,0.035596,0.050507,0.103821,0.024991,-0.019751,0.097363,-0.000034,-0.024473,0.111005,-0.049087,0.047475,0.090039,-0.009421,0.049395,0.110312,-0.035223,0.050717,0.103846,-0.025040,-0.019603,0.097380,0.012497,-0.016237,0.105253,-0.012519,-0.016163,0.105261,0.010141,-0.020489,0.104011,-0.010190,-0.020428,0.104018,0.010132,-0.023398,0.103386,-0.010199,-0.023337,0.103393,0.012464,-0.027174,0.104622,-0.012552,-0.027100,0.104630,-0.000022,-0.020694,0.111631,0.020304,-0.020386,0.095373,-0.020358,-0.020266,0.095388,0.034633,-0.019970,0.094078,-0.034686,-0.019764,0.094102
2,0.066667,0.033164,-0.020404,-0.972132,2.160298,4.563674,-0.449135,-0.000000,0.223895,-0.000000,0.237485,0.315556,0.000000,0.020159,-0.000000,0.000000,0.079076,0.121524,-0.000012,-0.017409,0.113048,-0.000049,-0.029692,0.112956,-0.000126,-0.054530,0.103431,0.049431,0.047182,0.090004,0.009792,0.049338,0.110305,0.035596,0.050507,0.103821,0.024991,-0.019751,0.097363,-0.000034,-0.024473,0.111005,-0.049087,0.047475,0.090039,-0.009421,0.049395,0.110312,-0.035223,0.050717,0.103846,-0.025040,-0.019603,0.097380,0.012497,-0.016237,0.105253,-0.012519,-0.016163,0.105261,0.010141,-0.020489,0.104011,-0.010190,-0.020428,0.104018,0.010132,-0.023398,0.103386,-0.010199,-0.023337,0.103393,0.012464,-0.027174,0.104622,-0.012552,-0.027100,0.104630,-0.000022,-0.020694,0.111631,0.020304,-0.020386,0.095373,-0.020358,-0.020266,0.095388,0.034633,-0.019970,0.094078,-0.034686,-0.019764,0.094102
3,0.100000,0.033164,-0.020404,-0.972132,2.160298,4.563674,-0.449135,-0.000000,0.223895,-0.000000,0.237485,0.315556,0.000000,0.020159,-0.000000,0.000000,0.079076,0.121524,-0.000012,-0.017409,0.113048,-0.000049,-0.029692,0.112956,-0.000126,-0.054530,0.103431,0.049431,0.047182,0.090004,0.009792,0.049338,0.110305,0.035596,0.050507,0.103821,0.024991,-0.019751,0.097363,-0.000034,-0.024473,0.111005,-0.049087,0.047475,0.090039,-0.009421,0.049395,0.110312,-0.035223,0.050717,0.103846,-0.025040,-0.019603,0.097380,0.012497,-0.016237,0.105253,-0.012519,-0.016163,0.105261,0.010141,-0.020489,0.104011,-0.010190,-0.020428,0.104018,0.010132,-0.023398,0.103386,-0.010199,-0.023337,0.103393,0.012464,-0.027174,0.104622,-0.012552,-0.027100,0.104630,-0.000022,-0.020694,0.111631,0.020304,-0.020386,0.095373,-0.020358,-0.020266,0.095388,0.034633,-0.019970,0.094078,-0.034686,-0.019764,0.094102
4,0.133333,0.033164,-0.020404,-0.972132,2.160298,4.563674,-0.449135,-0.000000,0.223895,-0.000000,0.237485,0.315556,0.000000,0.020159,-0.000000,0.000000,0.079076,0.121524,-0.000012,-0.017409,0.113048,-0.000049,-0.029692,0.112956,-0.000126,-0.054530,0.103431,0.049431,0.047182,0.090004,0.009792,0.049338,0.110305,0.035596,0.050507,0.103821,0.024991,-0.019751,0.097363,-0.000034,-0.024473,0.111005,-0.049087,0.047475,0.090039,-0.009421,0.049395,0.110312,-0.035223,0.050717,0.103846,-0.025040,-0.019603,0.097380,0.012497,-0.016237,0.105253,-0.012519,-0.016163,0.105261,0.010141,-0.020489,0.104011,-0.010190,-0.020428,0.104018,0.010132,-0.023398,0.103386,-0.010199,-0.023337,0.103393,0.012464,-0.027174,0.104622,-0.012552,-0.027100,0.104630,-0.000022,-0.020694,0.111631,0.020304,-0.020386,0.095373,-0.020358,-0.020266,0.095388,0.034633,-0.019970,0.094078,-0.034686,-0.019764,0.094102
5,0.166667,0.032227,-0.019012,-0.972009,1.243174,4.710745,-0.512313,-0.000000,0.274282,-0.000000,0.294976,0.319018,0.000000,-0.002016,0.029309,0.000000,0.043833,0.137580,-0.000005,-0.016956,0.113161,-0.000024,-0.030330,0.112824,-0.000061,-0.054858,0.103057,0.049227,0.045980,0.090134,0.009076,0.048599,0.110310,0.035087,0.049090,0.104032,0.025035,-0.020458,0.097280,-0.000017,-0.025122,0.110879,-0.049052,0.046131,0.090152,-0.008885,0.048626,0.110313,-0.034897,0.049198,0.104045,-0.025060,-0.020386,0.097289,0.012519,-0.016122,0.105259,-0.012529,-0.016086,0.105263,0.010169,-0.020369,0.104017,-0.010191,-0.020340,0.104020,0.010163,-0.024041,0.103150,-0.010196,-0.024011,0.103154,0.012502,-0.027858,0.104386,-0.012546,-0.027822,0.104390,-0.000010,-0.020351,0.111747,0.020346,-0.020830,0.095304,-0.020373,-0.020772,0.095311,0.034661,-0.020135,0.094068,-0.034686,-0.020035,0.094080
6,0.200000,0.030705,-0.018713,-0.973270,1.198608,4.918180,-0.868570,-0.000000,0.002976,-0.000000,0.055724,0.411558,0.000000,-0.004899,0.044566,0.000000,0.090536,0.132289,0.000008,-0.017948,0.112881,-0.000016,-0.029811,0.112725,-0.000070,-0.054758,0.103208,0.049757,0.051323,0.089676,0.012265,0.052148,0.110337,0.037235,0.055518,0.103161,0.025785,-0.020688,0.096510,-0.000007,-0.024870,0.110926,-0.049483,0.051521,0.089713,-0.011972,0.052196,0.110347,-0.036934,0.055666,0.103189,-0.025793,-0.020584,0.096530,0.012902,-0.016817,0.104871,-0.012887,-0.016765,0.104881,0.010508,-0.020898,0.103627,-0.010511,-0.020855,0.103636,0.010501,-0.023897,0.103007,-0.010517,-0.023855,0.103016,0.012880,-0.027539,0.104240,-0.012909,-0.027487,0.104250,0.000001,-0.020973,0.111547,0.021013,-0.021159,0.094619,-0.021024,-0.021074,0.094636,0.034999,-0.020253,0.093720,-0.035007,-0.020112,0.093747
7,0.233333,0.031103,-0.018988,-0.973634,1.559173,4.563846,-0.671393,-0.000000,-0.052266,-0.000000,-0.002949,0.433377,0.000000,-0.003215,0.058423,0.000000,0.160617,0.140693,-0.000007,-0.018632,0.112698,-0.000034,-0.030088,0.112648,-0.000095,-0.054890,0.103020,0.049828,0.052012,0.089595,0.012674,0.052653,0.110313,0.037514,0.056359,0.103025,0.025879,-0.020714,0.096411,-0.000023,-0.025187,0.110867,-0.049528,0.052242,0.089628,-0.012358,0.052711,0.110321,-0.037185,0.056531,0.103050,-0.025913,-0.020592,0.096428,0.012942,-0.017216,0.104667,-0.012954,-0.017155,0.104675,0.010541,-0.021273,0.103425,-0.010572,-0.021224,0.103432,0.010534,-0.024150,0.102914,-0.010579,-0.024101,0.102921,0.012917,-0.027770,0.104150,-0.012979,-0.027709,0.104158,-0.000014,-0.021452,0.111378,0.021094,-0.021359,0.094533,-0.021132,-0.021259,0.094547,0.035034,-0.020233,0.093686,-0.035067,-0.020068,0.093709
8,0.266667,0.031320,-0.019128,-0.973678,1.695760,4.445775,-0.593596,-0.000000,-0.046086,-0.000000,0.001007,0.430965,0.000000,-0.001901,0.058146,0.000000,0.170573,0.141868,-0.000006,-0.018540,0.112723,-0.000033,-0.030072,0.112659,-0.000094,-0.054877,0.103037,0.049819,0.051912,0.089604,0.012617,0.052587,0.110313,0.037475,0.056238,0.103042,0.025845,-0.020685,0.096447,-0.000022,-0.025159,0.110872,-0.049519,0.052141,0.089637,-0.012301,0.052644,0.110321,-0.037147,0.056411,0.103066,-0.025878,-0.020565,0.096464,0.012925,-0.017155,0.104700,-0.012936,-0.017094,0.104709,0.010526,-0.021219,0.103458,-0.010557,-0.021170,0.103465,0.010519,-0.024122,0.102932,-0.010564,-0.024073,0.102939,0.012901,-0.027748,0.104167,-0.012961,-0.027688,0.104175,-0.000013,-0.021390,0.111400,0.021064,-0.021316,0.094565,-0.021101,-0.021218,0.094579,0.035019,-0.020226,0.093701,-0.035051,-0.020063,0.093724
9,0.300000,0.032305,-0.018780,-0.973835,1.481325,3.767067,-0.796591,0.091846,-0.022163,-0.000000,0.037175,0.401523,0.000000,-0.000569,0.093891,0.000000,0.172698,0.165383,0.000010,-0.018608,0.112715,-0.000012,-0.030898,0.112538,-0.000057,-0.055269,0.102592,0.049769,0.052213,0.089633,0.013537,0.053501,0.110319,0.038078,0.057026,0.102945,0.025713,-0.021125,0.096559,-0.000004,-0.025930,0.110722,-0.049522,0.052385,0.089670,-0.013271,0.053547,0.110329,-0.037805,0.057157,0.102973,-0.025714,-0.021037,0.096578,0.012866,-0.017274,0.104645,-0.012848,-0.017230,0.104654,0.010477,-0.021373,0.103402,-0.010474,-0.021337,0.103410,0.010471,-0.024806,0.102751,-0.010480,-0.024770,0.102759,0.012846,-0.028500,0.103986,-0.012868,-0.028456,0.103995,0.000004,-0.021472,0.111374,0.020949,-0.021711,0.094667,-0.020954,-0.021639,0.094683,0.034970,-0.020344,0.093762,-0.034970,-0.020224,0.093788
